,date,text_length
769,2015-03-17,632
770,2015-03-18,583
771,2015-03-19,755
772,2015-03-20,688
773,2015-03-23,526
774,2015-03-24,439
775,2015-03-25,581
776,2015-03-26,573
777,2015-03-27,449
778,2015-03-30,585
779,2015-03-31,548
780,2015-04-01,516
781,2015-04-02,447
782,2015-04-06,375
783,2015-04-07,629
784,2015-04-08,573
785,2015-04-09,531
786,2015-04-10,598
787,2015-04-13,558
788,2015-04-14,569
789,2015-04-15,469
790,2015-04-16,543
791,2015-04-17,512
792,2015-04-20,522
793,2015-04-22,654
794,2015-04-23,556
795,2015-04-24,558
796,2015-04-27,703
797,2015-04-28,575
798,2015-04-29,552
799,2015-04-30,578
800,2015-05-01,627
801,2015-05-04,773
802,2015-05-05,645
803,2015-05-06,572
804,2015-05-07,632
805,2015-05-08,684
806,2015-05-12,583
807,2015-05-13,631
808,2015-05-14,591
809,2015-05-15,542
810,2015-05-19,515
811,2015-05-20,533
812,2015-05-21,648
813,2015-05-22,572
814,2015-05-25,637
815,2015-05-26,379
816,2015-05-27,762
817,2015-05-28,544
818,2015-05-29,706
819,2015-06-01,514
820,2015-06-02,639
821,2015-06-03,656
822,2015-06-04,708
823,2015-06-05,715
824,2015-06-08,589
825,2015-06-09,556
826,2015-06-10,680
827,2015-06-11,606
828,2015-06-12,545
829,2015-06-15,711
830,2015-06-16,504
831,2015-06-17,549
832,2015-06-18,448
833,2015-06-22,504
834,2015-06-23,389
835,2015-06-24,726
836,2015-06-25,451
837,2015-06-26,528
838,2015-06-29,689
839,2015-06-30,596
840,2015-07-01,539
841,2015-07-02,718
842,2015-07-06,637
843,2015-07-07,330
844,2015-07-08,566
845,2015-07-09,559
846,2015-07-10,473
847,2015-07-13,584
848,2015-07-14,767
849,2015-07-15,893
850,2015-08-04,664
851,2015-08-05,692
852,2015-08-06,588
853,2015-08-07,575
854,2015-08-10,758
855,2015-08-11,555
856,2015-08-12,572
857,2015-08-13,607
858,2015-08-14,463
859,2015-08-17,532
860,2015-08-18,774
861,2015-08-19,949
862,2015-08-20,358
863,2015-08-21,872
864,2015-08-24,643
865,2015-08-25,531
866,2015-08-26,658
867,2015-08-27,792
868,2015-08-28,652
869,2015-08-31,724
870,2015-09-01,683
871,2015-09-04,590
872,2015-09-08,522
873,2015-09-10,482
874,2015-09-14,474
875,2015-09-15,538
876,2015-09-16,659
877,2015-09-17,444
878,2015-09-18,527
879,2015-09-21,451
880,2015-09-22,555
881,2015-09-23,608
882,2015-09-25,492
883,2015-09-28,482
884,2015-09-29,507
885,2015-09-30,565
886,2015-10-01,633
887,2015-10-02,441
888,2015-10-05,403
889,2015-10-06,551
890,2015-10-07,765
891,2015-10-08,674
892,2015-10-09,515
893,2015-10-13,568
894,2015-10-14,915
895,2015-10-16,603
896,2015-10-19,450
897,2015-10-20,490
898,2015-10-21,438
899,2015-10-22,511
900,2015-10-23,350
901,2015-10-26,587
902,2015-10-28,477
903,2015-10-30,871
904,2015-11-02,594
905,2015-11-03,534
906,2015-11-04,422
907,2015-11-05,567
908,2015-11-06,739
909,2015-11-09,692
910,2015-11-10,740
911,2015-11-11,910
912,2015-11-12,846
913,2015-11-13,686
914,2015-11-16,442
915,2015-11-17,850
916,2015-11-18,644
917,2015-11-19,439
918,2015-11-20,334
919,2015-11-23,816
920,2015-11-24,340
921,2015-11-25,414
922,2015-11-26,693
923,2015-11-27,931
924,2015-11-30,954
925,2015-12-01,831
926,2015-12-02,987
927,2015-12-03,864
928,2015-12-04,729
929,2015-12-07,766
930,2015-12-08,703
931,2015-12-09,795
932,2015-12-10,718
933,2015-12-11,697
934,2015-12-14,787
935,2015-12-15,939
936,2016-01-04,553
937,2016-01-05,730
938,2016-01-06,526
939,2016-01-07,877
940,2016-01-08,863
941,2016-01-11,840
942,2016-01-12,645
943,2016-01-13,627
944,2016-01-14,568
945,2016-01-15,851
946,2016-01-18,485
947,2016-01-19,696
948,2016-01-20,1136
949,2016-01-21,828
950,2016-01-22,663
951,2016-01-25,904
952,2016-01-26,1102
953,2016-01-27,847
954,2016-01-28,600
955,2016-01-29,839
956,2016-02-01,740
957,2016-02-02,835
958,2016-02-04,733
959,2016-02-08,444
960,2016-02-09,661
961,2016-02-10,769
962,2016-02-11,705
963,2016-02-12,529
964,2016-02-16,1021
965,2016-02-17,775
966,2016-02-18,959
967,2016-02-19,1125
968,2016-02-22,992
969,2016-02-23,2672
970,2016-02-24,1572
971,2016-02-25,3151
972,2016-02-26,2935
973,2016-02-29,895
974,2011-07-15,30
975,2011-07-18,29
976,2011-07-19,29
977,2011-07-20,32
978,2011-07-21,33
979,2011-07-22,19
980,2011-07-25,34
981,2011-07-26,33
982,2011-07-27,24
983,2011-07-28,14
984,2011-07-29,38
985,2011-08-01,77
986,2011-08-02,73
987,2011-08-03,93
988,2011-08-04,37
989,2011-08-05,40
990,2011-08-09,52
991,2011-08-10,35
992,2011-08-11,40
993,2011-08-12,29
994,2011-08-14,78
995,2011-08-15,38
996,2011-08-16,44
997,2011-08-17,42
998,2011-08-18,42
999,2011-08-19,29
1000,2011-08-22,47
1001,2011-08-23,53
1002,2011-08-24,47
1003,2011-08-25,41
1004,2011-08-26,34
1005,2011-08-29,66
1006,2011-08-30,42
1007,2011-08-31,38
1008,2011-09-01,27
1009,2011-09-02,61
1010,2011-09-06,68
1011,2011-09-07,60
1012,2011-09-08,52
1013,2011-09-09,52
1014,2011-09-12,42
1015,2011-09-13,38
1016,2011-09-14,66
1017,2011-09-15,54
1018,2011-09-16,56
1019,2011-09-19,52
1020,2011-09-20,52
1021,2011-09-21,87
1022,2011-09-22,116
1023,2011-09-23,104
1024,2011-09-26,72
1025,2011-09-27,76
1026,2011-09-28,69
1027,2011-09-29,78
1028,2011-09-30,74
1029,2011-10-03,79
1030,2011-10-04,65
1031,2011-10-05,87
1032,2011-10-06,90
1033,2011-10-07,101
1034,2011-10-10,120
1035,2011-10-11,90
1036,2011-10-12,80
1037,2011-10-13,88
1038,2011-10-14,67
1039,2011-10-17,79
1040,2011-10-18,64
1041,2011-10-19,79
1042,2011-10-20,96
1043,2011-10-21,83
1044,2011-10-24,87
1045,2011-10-25,87
1046,2011-10-26,108
1047,2011-10-27,76
1048,2011-10-28,95
1049,2011-10-31,118
1050,2011-11-01,85
1051,2011-11-02,107
1052,2011-11-03,106
1053,2011-11-04,93
1054,2011-11-07,109
1055,2011-11-08,126
1056,2011-11-09,122
1057,2011-11-10,123
1058,2011-11-11,127
1059,2011-11-14,115
1060,2011-11-15,100
1061,2011-11-16,101
1062,2011-11-17,128
1063,2011-11-18,96
1064,2011-11-28,104
1065,2011-11-29,81
1066,2011-11-30,211
1067,2011-12-01,205
1068,2011-12-02,126
1069,2011-12-05,108
1070,2011-12-06,142
1071,2011-12-07,169
1072,2011-12-08,140
1073,2011-12-09,124
1074,2011-12-12,144
1075,2011-12-13,111
1076,2011-12-14,126
1077,2011-12-15,141
1078,2011-12-16,154
1079,2011-12-19,157
1080,2011-12-20,113
1081,2011-12-21,99
1082,2012-01-03,110
1083,2012-01-04,164
1084,2012-01-05,120
1085,2012-01-06,171
1086,2012-01-09,151
1087,2012-01-10,81
1088,2012-01-11,120
1089,2012-01-12,139
1090,2012-01-13,123
1091,2012-01-17,153
1092,2012-01-18,129
1093,2012-01-19,79
1094,2012-01-20,155
1095,2012-01-23,123
1096,2012-01-24,104
1097,2012-01-25,134
1098,2012-01-26,127
1099,2012-01-27,216
1100,2012-01-30,189
1101,2012-01-31,187
1102,2012-02-01,168
1103,2012-02-02,169
1104,2012-02-03,195
1105,2012-02-06,149
1106,2012-02-07,162
1107,2012-02-08,139
1108,2012-02-09,111
1109,2012-02-10,222
1110,2012-02-13,257
1111,2012-02-14,100
1112,2012-02-15,218
1113,2012-02-16,215
1114,2012-02-17,150
1115,2012-02-21,242
1116,2012-02-22,190
1117,2012-02-23,209
1118,2012-02-24,291
1119,2012-02-27,162
1120,2012-02-28,194
1121,2012-02-29,227
1122,2012-03-01,186
1123,2012-03-02,171
1124,2012-03-05,213
1125,2012-03-06,211
1126,2012-03-07,249
1127,2012-03-08,256
1128,2012-03-12,271
1129,2012-03-13,232
1130,2012-03-14,206
1131,2012-03-15,174
1132,2012-03-16,208
1133,2012-03-19,254
1134,2012-03-20,174
1135,2012-03-21,271
1136,2012-03-22,182
1137,2012-03-23,192
1138,2012-03-26,233
1139,2012-03-27,227
1140,2012-03-28,159
1141,2012-03-29,237
1142,2012-03-30,198
1143,2012-04-02,189
1144,2012-04-04,218
1145,2012-04-05,255
1146,2012-04-06,197
1147,2012-04-10,247
1148,2012-04-11,194
1149,2012-04-12,182
1150,2012-04-13,274
1151,2012-04-16,302
1152,2012-04-18,256
1153,2012-04-19,287
1154,2012-04-20,262
1155,2012-04-24,223
1156,2012-04-25,283
1157,2012-04-26,214
1158,2012-04-27,247
1159,2012-04-30,293
1160,2012-05-01,281
1161,2012-05-02,318
1162,2012-05-03,196
1163,2012-05-04,191
1164,2012-05-09,204
1165,2012-05-16,201
1166,2012-05-17,183
1167,2012-05-18,306
1168,2012-05-21,215
1169,2012-05-22,215
1170,2012-05-23,230
1171,2012-05-24,197
1172,2012-05-25,275
1173,2012-05-30,362
1174,2012-05-31,196
1175,2012-06-01,242
1176,2012-06-19,152
1177,2012-06-20,183
1178,2012-06-21,196
1179,2012-06-26,150
1180,2012-06-27,137
1181,2012-06-28,161
1182,2012-06-29,222
1183,2012-07-02,142
1184,2012-07-03,167
1185,2012-07-05,165
1186,2012-07-06,270
1187,2012-07-09,303
1188,2012-07-10,287
1189,2012-07-11,185
1190,2012-07-12,280
